,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
494,120,65,5.0,300,30,10,1,sqrt,0.6761103310171902,0.45350062486409515,0.8368754602268772,0.40870018233915084,0.7176348007293566,0.7389945298254754,0.8771186440677966
495,140,50,10.0,200,10,5,1,sqrt,0.6575752042784512,0.427546199484123,0.857942622628024,0.3885081707959937,0.7163943068002109,0.7416974169741697,0.8801719505642128
496,140,65,10.0,100,30,2,4,sqrt,0.6564773518072532,0.429092780023841,0.8498220191301364,0.408960666840323,0.7181557697317009,0.7402969523313363,0.875
497,100,35,1.0,200,30,5,4,log2,0.6775874186538283,0.4530846876060719,0.8275488061293186,0.41557748732995464,0.7236596425713524,0.7457988797012537,0.8867102396514162
498,120,65,1.0,300,10,10,1,sqrt,0.656057076641588,0.4234803315232786,0.8668215081776598,0.3852565772336546,0.7158114092211514,0.7408179213336806,0.8797669491525424
499,80,50,0.1,300,,2,1,log2,0.6884434509211856,0.4708941176136061,0.820270798689689,0.4201370585134423,0.7224565102793885,0.7414338429098577,0.8790972595378829
500,0,50,0.1,300,10,2,1,sqrt,0.6610401284615364,0.428854178305056,0.861166903215367,0.37585661570901424,0.7185028993147075,0.7474960463890353,0.8850080601826975
501,160,35,1.0,200,30,5,2,sqrt,0.68742633326107,0.4696689197660545,0.8175803261376701,0.41931181648439586,0.7271272339290478,0.7487329954654575,0.8877995642701525
502,120,65,5.0,100,30,5,10,log2,0.64017698754035,0.40184098553921,0.8742727480145055,0.3878614222453764,0.7137275332117738,0.7405574368325085,0.8755296610169492
503,100,50,0.1,300,30,10,2,log2,0.6822515460524569,0.4592032006917669,0.8283101417474282,0.4132841328413284,0.7261465471797575,0.7443331576172905,0.8839333691563676
504,0,50,10.0,300,,5,2,log2,0.6657545417256142,0.43851487192479643,0.8414724125054606,0.41354770690564047,0.7195571955719557,0.7443331576172905,0.8817839871037076
505,160,35,10.0,300,10,10,1,sqrt,0.6572937884824022,0.4250205439010938,0.8593452232042321,0.38783675646839155,0.7193918378234195,0.7452654041077621,0.8856209150326797
506,0,35,10.0,100,10,2,2,sqrt,0.6518830524870157,0.4170898539080411,0.8650447549872843,0.38650306748466257,0.7145905574819952,0.7407308615630835,0.8763616557734205
