,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
611,140,50,5.0,200,10,5,4,log2,0.6663086470583869,0.43490737623069553,0.8517002113086517,0.385872430152873,0.7248286768581972,0.7490774907749077,0.8893068242880172
612,80,65,5.0,100,30,10,2,log2,0.6694880380983628,0.44347037983684523,0.8418513463096923,0.4133889033602501,0.7199791612399062,0.7418598593383694,0.8802966101694916
613,100,35,0.1,300,30,2,2,sqrt,0.6905921003785711,0.4737120536026507,0.8137448247644834,0.4174446519071752,0.7303280874899973,0.7441984529207789,0.8828976034858388
614,0,50,5.0,300,30,10,2,log2,0.6769808656676073,0.451838220496812,0.8326813782115314,0.41486557722720085,0.7214022140221402,0.7440695835529784,0.8839333691563676
615,140,65,10.0,100,,5,10,log2,0.6396172453495947,0.4024307112048934,0.8730047159840023,0.3904662672570982,0.7173743162281844,0.7452461578536077,0.8755296610169492
616,160,50,5.0,100,30,10,2,log2,0.6754078373607186,0.4507794007044541,0.8323562437560511,0.4198734844491302,0.7253558249868213,0.7416974169741697,0.8796346050510478
617,140,50,0.1,100,10,10,10,log2,0.6446063371527264,0.40714724710718364,0.8721088543164174,0.38429098576700055,0.7142857142857143,0.7488139167105957,0.8882321332616873
618,120,35,10.0,100,10,10,10,log2,0.63795145295881,0.39818902312205284,0.8757391993667554,0.38730328087489996,0.7169911976527074,0.7449986663110163,0.8796296296296297
619,140,35,0.1,100,,10,10,sqrt,0.6627986585685891,0.43430642563437916,0.8474917756423362,0.3982395305414777,0.722859429181115,0.7484662576687117,0.8867102396514162
620,140,35,10.0,300,,10,4,sqrt,0.6722556136106745,0.44894898064932254,0.8298521131325464,0.4097092558015471,0.7260602827420646,0.7431315017337957,0.8812636165577342
621,120,35,5.0,100,10,10,4,log2,0.6630721613016062,0.4305404006383009,0.8530987734637885,0.384635902907442,0.7204587890104027,0.7471325686849827,0.8877995642701525
622,100,50,1.0,300,10,10,4,sqrt,0.6676897509962485,0.4367061350847048,0.8520861030426016,0.38982604111755403,0.720611491829204,0.7461781760674749,0.8882321332616873
623,100,65,1.0,300,,5,1,sqrt,0.6779730270685383,0.4576253998665122,0.8352358221751346,0.408960666840323,0.7207606147434228,0.7382130763219589,0.8765889830508474
624,140,50,5.0,200,30,2,4,sqrt,0.6798141659283353,0.4589952460646498,0.827654798146079,0.4164470216130733,0.7237743806009489,0.746441750131787,0.8871574422353573
625,0,65,5.0,200,,5,4,sqrt,0.6668805587591073,0.438842759278364,0.8438293358584924,0.41469132586611096,0.7186767387340454,0.7366501693149258,0.8723516949152542
626,0,65,10.0,300,30,10,10,sqrt,0.6242754490717058,0.38155550198615484,0.889281823683608,0.3865589997395155,0.7116436572023964,0.7309195102891378,0.8591101694915254
627,160,65,10.0,300,30,10,1,log2,0.6594458784681314,0.4306990816585582,0.8518457421944635,0.40609533732742903,0.7199791612399062,0.7429017973430581,0.8760593220338984
628,100,65,5.0,200,10,5,1,log2,0.6573828229056948,0.4236845454875856,0.8657534041772283,0.3797864027090388,0.7212815837457671,0.7418598593383694,0.8802966101694916
629,120,35,0.1,300,,10,4,log2,0.6797315081864941,0.45504984425088557,0.8279373816681231,0.40704187783408907,0.7252600693518272,0.7463323552947453,0.8872549019607843
630,80,50,0.1,200,30,5,2,log2,0.6857346614830995,0.46546781646050095,0.8253545065176683,0.41117554032683185,0.7261465471797575,0.7453874538745388,0.8812466415905427
631,100,50,10.0,300,10,10,2,sqrt,0.6566519994240361,0.4231024664330344,0.8607840436946166,0.3885081707959937,0.716657880864523,0.7406431207169215,0.8807092960773778
632,80,65,5.0,100,10,2,4,sqrt,0.6564507751660952,0.42306584742599473,0.864002710816245,0.38473560823131026,0.7173743162281844,0.7408179213336806,0.8792372881355932
633,160,50,10.0,200,,2,2,sqrt,0.6710875761163497,0.44703430387894005,0.8355246928143417,0.4201370585134423,0.7229836584080126,0.7416974169741697,0.8785599140247179
634,160,50,0.1,200,30,5,2,log2,0.6824918883776574,0.46127161310599274,0.827516828381466,0.4124934106483922,0.7224565102793885,0.7422245651027939,0.8796346050510478
635,100,50,5.0,100,10,10,2,log2,0.6619137100564595,0.4289098220689411,0.8604871401307244,0.3837638376383764,0.7221929362150764,0.7488139167105957,0.8887694787748522
636,140,50,10.0,200,,10,2,log2,0.6710457585379116,0.4460477625827063,0.8338064745466499,0.41671059567738533,0.7219293621507644,0.7440695835529784,0.8774852229983879
637,140,35,5.0,200,30,5,4,log2,0.6825396579856531,0.4605876967637488,0.8233664566130371,0.41531074953320885,0.7300613496932515,0.7449986663110163,0.8877995642701525
638,100,50,0.1,200,30,10,2,sqrt,0.6811430814432783,0.4598787714764053,0.8303427729659059,0.41354770690564047,0.7229836584080126,0.7422245651027939,0.8807092960773778
639,140,35,0.1,300,,5,10,sqrt,0.6637113767224819,0.43519201121825224,0.8462644463263354,0.39530541477727393,0.724193118164844,0.7481995198719659,0.8894335511982571
640,160,65,5.0,200,10,5,1,log2,0.6585616428057143,0.42434272380916704,0.865856179043037,0.37900494920552225,0.7207606147434228,0.742641312841886,0.878177966101695
641,160,50,1.0,300,10,2,2,log2,0.6674622818428483,0.43545926282509584,0.8536244224479904,0.38771744860305746,0.7208750658935161,0.7488139167105957,0.8876947877485223
642,140,35,0.1,100,,5,2,log2,0.685849033366377,0.4680691125286509,0.8197933199050103,0.41557748732995464,0.7292611363030141,0.7500666844491864,0.8877995642701525
643,120,35,10.0,100,10,10,1,sqrt,0.6560278560601733,0.4238063312246654,0.8612016081047806,0.38757001867164576,0.7169911976527074,0.7465990930914911,0.8839869281045751
644,80,35,10.0,200,30,5,4,log2,0.6694018111767169,0.44200387303403377,0.833781263556878,0.41424379834622566,0.7225926913843692,0.7436649773272873,0.8812636165577342
645,140,35,1.0,200,10,10,1,sqrt,0.6723915883713368,0.44709468866028157,0.846996311569429,0.37983462256601763,0.7209922646038943,0.7479327820752201,0.8937908496732027
646,100,35,0.1,300,,5,1,sqrt,0.6900926426810511,0.4739277626567845,0.815525153972235,0.417711389703921,0.7287276607095226,0.7471325686849827,0.883442265795207
647,100,50,1.0,300,30,2,10,sqrt,0.6555342694450823,0.4223205346127724,0.8569050476051084,0.3974696889826041,0.7179757511860833,0.742488139167106,0.8807092960773778
648,160,35,1.0,200,30,10,1,log2,0.6854276449725452,0.4653097460911364,0.8240535970344866,0.417711389703921,0.7244598559615898,0.7457988797012537,0.8850762527233116
649,100,35,5.0,300,10,10,1,log2,0.6707316001104644,0.4399156086933318,0.852240801069052,0.3841024273139504,0.7247265937583356,0.7481995198719659,0.8910675381263616
650,120,50,1.0,100,,2,1,log2,0.6832533535307178,0.464631868380483,0.8258865162796009,0.41697416974169743,0.7232472324723247,0.7419609910384818,0.8807092960773778
651,160,50,5.0,200,30,5,1,log2,0.682433221796004,0.4618109365046532,0.8272675631998256,0.4140748550342646,0.7258829731154455,0.7393252503953611,0.8753358409457281
652,120,50,0.1,300,,5,2,log2,0.6858580556668392,0.46560942818278295,0.8240057435646527,0.41117554032683185,0.724301528729573,0.742751713231418,0.8796346050510478
653,100,65,0.1,300,10,10,2,log2,0.659159779493261,0.4246091565316644,0.8641681859222062,0.38577754623599897,0.7212815837457671,0.7410784058348528,0.8797669491525424
654,140,65,0.1,100,10,2,10,sqrt,0.6446979953152242,0.4102614394587407,0.8723094322524532,0.3818702787184163,0.7173743162281844,0.7442042198489189,0.8813559322033898
655,140,50,5.0,200,30,5,4,sqrt,0.6798141659283353,0.4589952460646498,0.827654798146079,0.4164470216130733,0.7237743806009489,0.746441750131787,0.8871574422353573
656,100,35,10.0,300,10,5,2,sqrt,0.6637408588540107,0.4332111288441257,0.8503904936117728,0.3905041344358496,0.724193118164844,0.7457988797012537,0.8839869281045751
657,100,35,10.0,100,10,5,10,sqrt,0.6448048085089942,0.4079274037386522,0.8662073641474842,0.39183782341957857,0.7191251000266737,0.7407308615630835,0.8790849673202614
658,140,35,10.0,200,10,5,4,sqrt,0.6659402461145036,0.43777722942985775,0.8467412007957978,0.38837023206188315,0.7249933315550814,0.7455321419045079,0.8894335511982571
659,120,65,5.0,300,,2,10,sqrt,0.6460407761080713,0.41022093464555653,0.866392664735537,0.3920291742641313,0.7158114092211514,0.7363896848137536,0.8739406779661016
660,120,65,1.0,100,,10,10,sqrt,0.6446238396516809,0.4093039754665925,0.868311563027391,0.39411305027350874,0.7147694712164626,0.7400364678301641,0.8755296610169492
661,80,50,5.0,100,,2,2,sqrt,0.6842521193871669,0.4651874254053818,0.8258843899647917,0.41222983658408013,0.7240379546652609,0.7445967316816026,0.8790972595378829
662,80,65,0.1,300,,10,2,log2,0.6751368073513399,0.4502498927807085,0.8377325447840158,0.4105235738473561,0.7205001302422506,0.7434227663454025,0.878707627118644
663,80,65,10.0,300,10,5,4,sqrt,0.6477924903020017,0.41238147272361125,0.8682576791556638,0.3839541547277937,0.7171138317270123,0.739775983328992,0.8739406779661016
664,160,65,5.0,300,10,2,1,log2,0.6570324913218398,0.4231203890866745,0.8666645954953215,0.38577754623599897,0.7223235217504559,0.7434227663454025,0.881885593220339
665,120,35,5.0,300,30,2,2,sqrt,0.6890629508865074,0.4715729551609582,0.8168073268374739,0.4179781275006668,0.7260602827420646,0.7457988797012537,0.8839869281045751
666,100,50,1.0,100,10,5,1,log2,0.6652355153073366,0.4338674361267073,0.8577127804650995,0.386136004217185,0.7192936215076436,0.7419609910384818,0.8823213326168726
667,0,50,1.0,100,,5,4,sqrt,0.6719976628040714,0.44595007052846924,0.8367116746041594,0.411702688455456,0.7227200843437006,0.7419609910384818,0.8807092960773778
668,80,50,0.1,100,,2,1,log2,0.6829914025009206,0.4643258535404321,0.8247065886023123,0.4235635213494992,0.7219293621507644,0.7411702688455456,0.8790972595378829
669,120,35,10.0,300,,10,1,sqrt,0.6729167176159001,0.449350682204552,0.8318180898628345,0.41397706054947986,0.7239263803680982,0.7436649773272873,0.8828976034858388
670,120,35,1.0,100,30,10,1,sqrt,0.6824894201627754,0.4636979953460164,0.8216128100711413,0.42064550546812485,0.725526807148573,0.7487329954654575,0.8888888888888888
671,80,35,10.0,200,10,2,4,log2,0.6603364123902614,0.426663330979137,0.8538710080450564,0.39397172579354495,0.7260602827420646,0.7449986663110163,0.8850762527233116
672,80,65,1.0,200,30,5,2,sqrt,0.6786500840339764,0.45769410526463206,0.8323415786538204,0.4139098723625944,0.7223235217504559,0.739775983328992,0.8760593220338984
673,160,35,10.0,200,10,10,1,sqrt,0.656599906017069,0.42413477126301724,0.8603058219867957,0.3857028540944252,0.7209922646038943,0.7455321419045079,0.8861655773420479
674,80,50,10.0,200,,2,10,sqrt,0.6441899943386982,0.40809454129680134,0.8658514985705433,0.3987875593041645,0.716657880864523,0.7393252503953611,0.8737238044062332
675,100,65,5.0,100,10,10,1,log2,0.6520566169359556,0.4170478024657851,0.8715144234246868,0.37926543370669447,0.7181557697317009,0.7374316228184423,0.8744703389830508
676,80,65,5.0,100,10,5,4,log2,0.6544901152287691,0.4192897444073732,0.8650390198834519,0.3849960927324824,0.7215420682469393,0.7408179213336806,0.878177966101695
677,100,50,1.0,300,30,5,1,log2,0.6892106564287039,0.4708086983677938,0.8199720146428522,0.4180284659989457,0.7256193990511334,0.7419609910384818,0.8790972595378829
678,80,35,1.0,100,,10,2,log2,0.683622590692791,0.46269093923721183,0.8232475193452752,0.41904507868765006,0.7257935449453188,0.7489997332622033,0.8905228758169934
679,80,50,1.0,200,,5,1,sqrt,0.6865605128072233,0.4688225872553613,0.8243402955983653,0.4130205587770163,0.7232472324723247,0.7393252503953611,0.8747984954325632
680,100,50,5.0,300,,5,1,sqrt,0.6870763839902897,0.46915067254718246,0.8225453894301128,0.4143384290985767,0.7227200843437006,0.7443331576172905,0.8790972595378829
681,120,65,0.1,300,30,2,1,sqrt,0.6782824403721274,0.45863407788859933,0.8322398116151336,0.4180776243813493,0.7207606147434228,0.7408179213336806,0.8771186440677966
682,140,50,1.0,200,,10,10,log2,0.6540134841777975,0.4192723883150157,0.8606466784158318,0.39325250395361094,0.720611491829204,0.7435424354243543,0.8833960236432026
683,160,65,10.0,100,,5,4,log2,0.6541937634910604,0.4232612341287949,0.8525188608590268,0.4037509768168794,0.7205001302422506,0.7387340453243032,0.871822033898305
684,80,65,10.0,300,10,5,10,log2,0.6294991687907089,0.3871199984067756,0.8875290315398902,0.38317270122427716,0.7152904402188069,0.7400364678301641,0.8739406779661016
685,160,65,5.0,100,10,10,4,sqrt,0.6568387629048226,0.4237474717585049,0.8625384256890049,0.3865589997395155,0.7181557697317009,0.7434227663454025,0.8840042372881356
686,0,50,1.0,300,10,5,10,sqrt,0.6401073800495759,0.40014922279971676,0.8769849832469985,0.38323668950975226,0.7134949920927781,0.7453874538745388,0.8817839871037076
687,160,35,5.0,200,10,5,1,log2,0.6692797271969196,0.43869526579741636,0.853135252266797,0.3817017871432382,0.7244598559615898,0.7463323552947453,0.8899782135076253
688,80,35,10.0,100,,5,2,sqrt,0.6729789108021468,0.45062351439116577,0.828688971368547,0.42251267004534543,0.7223259535876234,0.7433982395305415,0.8790849673202614
689,120,50,10.0,300,30,10,1,sqrt,0.6699688440247369,0.44511778846383776,0.8385766471965249,0.4132841328413284,0.7219293621507644,0.7430152872957301,0.8807092960773778
690,160,50,1.0,100,10,2,2,sqrt,0.6683139294400551,0.4392684388530612,0.8520669791880068,0.3848181338956247,0.720611491829204,0.7461781760674749,0.8844707146695325
691,80,65,1.0,100,30,10,4,log2,0.6662906505293691,0.4383262013347714,0.8474014566151578,0.4037509768168794,0.7218025527481114,0.7376921073196144,0.8776483050847458
692,140,35,10.0,300,30,2,1,log2,0.6751363815358041,0.454518498229886,0.8257407948530638,0.41397706054947986,0.7273939717257936,0.7449986663110163,0.8790849673202614
693,140,35,5.0,100,30,2,2,log2,0.6857391992820446,0.4682209661487744,0.8173357958247536,0.417711389703921,0.7308615630834889,0.7473993064817285,0.8867102396514162
694,100,35,10.0,100,30,10,10,log2,0.6464192439524039,0.4092738466825665,0.8639317636411815,0.39423846359029074,0.7212590024006402,0.7447319285142705,0.8801742919389978
695,160,50,10.0,300,10,2,10,log2,0.6372911648822136,0.3958999726816562,0.8765095617526176,0.38666315234580917,0.7187664733790196,0.7461781760674749,0.8833960236432026
696,80,65,1.0,300,30,2,4,log2,0.6702122192066471,0.44288556719319916,0.8412496819312691,0.4079187288356343,0.7212815837457671,0.7415993748371972,0.881885593220339
697,160,65,0.1,300,,5,1,sqrt,0.6769645585582281,0.4562375189139328,0.8343523493765207,0.41521229486845534,0.7244073977598333,0.7387340453243032,0.8744703389830508
698,0,50,1.0,200,,5,2,sqrt,0.6809313354779419,0.4603931209408614,0.8263816232428634,0.4172377438060095,0.7211386399578281,0.7451238798102267,0.8823213326168726
699,140,65,1.0,300,,10,4,log2,0.6702096696398498,0.4437741902098641,0.8413231331962726,0.4040114613180516,0.7236259442563168,0.7423808283407137,0.881885593220339
700,100,50,1.0,200,,5,1,log2,0.6862682232979139,0.467356802581789,0.8221696335863079,0.4177648919346336,0.727991565629942,0.7409066947812335,0.876947877485223
701,80,65,0.1,300,10,5,2,sqrt,0.6616652390429212,0.43030266995645816,0.8599839949007162,0.3852565772336546,0.7191977077363897,0.742641312841886,0.881885593220339
702,140,50,1.0,200,10,10,2,log2,0.6659988582573017,0.43528533731111385,0.8544252512745417,0.38429098576700055,0.7187664733790196,0.7496046389035319,0.8903815153143472
703,140,65,1.0,100,10,5,1,log2,0.6560545388180432,0.42399564039178406,0.8657515681708816,0.38265173222193277,0.7160718937223235,0.742641312841886,0.8824152542372882
704,80,65,1.0,100,10,2,1,log2,0.6537605148416779,0.4208554966715088,0.8699795941802599,0.38369367022662154,0.7160718937223235,0.7387340453243032,0.8723516949152542
705,120,65,0.1,300,30,2,4,log2,0.6717973343939833,0.4445512290868139,0.8414683258245381,0.4034904923157072,0.7231049752539724,0.7374316228184423,0.8776483050847458
706,80,65,1.0,300,,10,2,log2,0.6751368073513399,0.4502498927807085,0.8377325447840158,0.4105235738473561,0.7205001302422506,0.7434227663454025,0.878707627118644
707,120,65,1.0,200,,2,4,sqrt,0.6709002364098446,0.44588416625606486,0.8401963600876401,0.40948163584266734,0.7202396457410785,0.7376921073196144,0.8776483050847458
708,160,35,1.0,200,,5,4,sqrt,0.6799072716599499,0.45787079955071786,0.8251652617165489,0.4105094691917845,0.7273939717257936,0.7476660442784743,0.8894335511982571
709,160,35,0.1,300,10,2,1,log2,0.670993949408475,0.4416648639494284,0.8504540117671852,0.3811683115497466,0.7247265937583356,0.7500666844491864,0.8932461873638344
710,100,35,5.0,200,,10,1,sqrt,0.6871558834956131,0.4686743961151538,0.8226306703672912,0.42037876767137905,0.7223259535876234,0.7465990930914911,0.8845315904139434
711,80,35,0.1,200,,5,4,log2,0.6818080140637397,0.45822086947470697,0.8253207363224893,0.41291010936249667,0.7244598559615898,0.7468658308882369,0.8899782135076253
712,140,65,10.0,300,10,5,4,log2,0.6512930686246354,0.41630750154942064,0.8648361309672721,0.38864287574889295,0.7207606147434228,0.7429017973430581,0.878707627118644
713,80,35,5.0,200,10,2,10,sqrt,0.6533274973801766,0.41789989431680963,0.8617822250474452,0.38676980528140836,0.7188583622299279,0.7457988797012537,0.8894335511982571
714,80,50,0.1,200,30,2,2,log2,0.6845708993054671,0.4642797858318216,0.8253241114757398,0.41460200316288875,0.7208750658935161,0.7414338429098577,0.8812466415905427
715,0,50,5.0,100,10,5,1,log2,0.6557352714763047,0.42156334900482917,0.8689946914200758,0.3777016341591987,0.7111228255139694,0.746441750131787,0.8844707146695325
716,140,50,0.1,300,,2,4,sqrt,0.6825611657467637,0.4623938395705769,0.826543033583138,0.4069583552978387,0.7272008434370058,0.7435424354243543,0.8850080601826975
717,100,50,10.0,200,,5,4,log2,0.665131074387344,0.4355502612868759,0.8428828780529595,0.40985767000527146,0.7227200843437006,0.742751713231418,0.8807092960773778
718,100,35,5.0,200,30,2,4,log2,0.6811564727618875,0.45733430527497354,0.8255021060083807,0.4110429447852761,0.7225926913843692,0.7463323552947453,0.8877995642701525
719,100,50,10.0,100,10,5,1,log2,0.6517037000086708,0.41618387409294233,0.8658705326502356,0.3885081707959937,0.7200843437005798,0.7419609910384818,0.876947877485223
720,100,65,0.1,100,30,10,4,log2,0.6633572738725644,0.43447156328193215,0.8491603512585136,0.40713727533211774,0.7173743162281844,0.7423808283407137,0.8765889830508474
721,120,35,1.0,200,,10,1,sqrt,0.6880505215659416,0.4704193256111938,0.8201406342649623,0.42064550546812485,0.7236596425713524,0.7439317151240331,0.8856209150326797
722,160,65,10.0,100,30,2,4,sqrt,0.6535203688269954,0.4237732981232425,0.8535768864489713,0.4068767908309456,0.7132065642094295,0.7405574368325085,0.8723516949152542
723,80,35,10.0,100,30,2,2,log2,0.6706898245882533,0.4467675102139974,0.8297670522142118,0.4251800480128034,0.7212590024006402,0.7476660442784743,0.8861655773420479
724,120,35,1.0,200,,2,4,log2,0.6816315769204783,0.4580201976880942,0.8267461125713976,0.4115764203787677,0.7257935449453188,0.7444651907175247,0.8877995642701525
725,140,35,10.0,300,,5,2,log2,0.6787552600846115,0.45764210481326906,0.8218379475200659,0.41424379834622566,0.7292611363030141,0.7484662576687117,0.8818082788671024
726,140,65,1.0,300,30,2,2,log2,0.6778852475872341,0.45675383200737263,0.8305699973238052,0.40870018233915084,0.7270122427715551,0.741338890336025,0.8802966101694916
727,100,50,0.1,300,,5,2,log2,0.685095423402515,0.46462869487424474,0.8236002609216808,0.41460200316288875,0.7250922509225092,0.7438060094886663,0.8817839871037076
728,160,35,0.1,300,30,2,4,sqrt,0.6818074027737644,0.4600771317453547,0.8237141020213383,0.41477727393971725,0.7292611363030141,0.7484662576687117,0.8905228758169934
729,120,35,0.1,300,30,5,4,log2,0.6816895014701532,0.45806148744798025,0.8261764731034084,0.4105094691917845,0.7257935449453188,0.7449986663110163,0.8861655773420479
730,160,35,5.0,100,10,10,2,log2,0.6655513236853854,0.4338556040722945,0.8539202141119318,0.384635902907442,0.7239263803680982,0.7471325686849827,0.8910675381263616
731,160,65,0.1,200,10,2,2,log2,0.6596510933428391,0.42569035629622454,0.8623175916492742,0.3865589997395155,0.7218025527481114,0.7434227663454025,0.8834745762711864
732,80,50,5.0,100,30,5,2,sqrt,0.6811412402484346,0.4606192113755978,0.8295708728961111,0.41671059567738533,0.7190300474433315,0.7440695835529784,0.8812466415905427
733,100,65,5.0,300,30,2,1,log2,0.6769110600509676,0.45567697990126366,0.8342225360209444,0.4172961708778328,0.7238864287574889,0.7379525918207867,0.8739406779661016
734,140,35,0.1,300,,10,1,log2,0.6853267973506019,0.4666287221918495,0.8215903117023143,0.4121098959722593,0.7273939717257936,0.7471325686849827,0.8910675381263616
735,80,50,5.0,200,30,10,10,sqrt,0.6539621084747365,0.41981386650645713,0.8583008007793157,0.40063257775434896,0.7145492883500264,0.7422245651027939,0.8796346050510478
736,140,65,0.1,200,10,10,4,sqrt,0.6618985722037631,0.4322413403864438,0.8568531184831238,0.3813493097160719,0.7218025527481114,0.7444647043500912,0.8824152542372882
737,120,65,0.1,100,10,5,4,sqrt,0.6563002496509651,0.4239037436199158,0.8617244072841462,0.387340453243032,0.7223235217504559,0.7395154988278198,0.878707627118644
738,0,50,10.0,100,,5,2,log2,0.66081017540225,0.4333842162492122,0.8435475020361661,0.4130205587770163,0.7174486030574592,0.7445967316816026,0.8780225685115529
739,100,65,5.0,200,,2,1,sqrt,0.6754658424893077,0.4547178708787656,0.8376980743290985,0.41521229486845534,0.7184162542328731,0.7387340453243032,0.8797669491525424
740,120,35,10.0,100,30,10,2,sqrt,0.6660860707614418,0.4405124277711976,0.838361505333377,0.41691117631368363,0.7233929047746066,0.7401973859695918,0.8779956427015251
741,80,65,0.1,300,,2,4,log2,0.6701488881159989,0.4428259327877856,0.8412972758086946,0.4079187288356343,0.7202396457410785,0.7408179213336806,0.8802966101694916
742,140,65,0.1,300,10,10,2,sqrt,0.6616013867517391,0.4324226612971681,0.8576775416739411,0.3839541547277937,0.7207606147434228,0.7452461578536077,0.8850635593220338
743,140,35,5.0,300,30,5,1,log2,0.6882936433926521,0.4717361863594628,0.8158487433116072,0.4174446519071752,0.7303280874899973,0.7473993064817285,0.8877995642701525
744,100,50,10.0,100,10,5,4,log2,0.6504287452039524,0.4140231427677651,0.8647077773033593,0.3892988929889299,0.7185028993147075,0.7422245651027939,0.8785599140247179
745,80,35,1.0,100,30,5,2,sqrt,0.687633366862277,0.47021238742174876,0.8156911470299145,0.4235796212323286,0.7284609229127768,0.7476660442784743,0.8861655773420479
746,140,65,1.0,100,,2,10,sqrt,0.6491266644216086,0.4169851135904691,0.8645707070465539,0.39098723625944254,0.7155509247199792,0.7442042198489189,0.878177966101695
747,140,50,1.0,100,10,2,1,log2,0.6674312125861744,0.438877003545616,0.8541322432034196,0.38218239325250397,0.7211386399578281,0.7467053241960991,0.8887694787748522
748,100,35,0.1,300,30,2,10,sqrt,0.661752164146059,0.43047995523030214,0.8478861306329046,0.3971725793544945,0.7199253134169111,0.7455321419045079,0.8872549019607843
749,0,65,5.0,200,,5,2,log2,0.671276360620974,0.44658691651197846,0.8403510452092671,0.41234696535556137,0.7228444907528002,0.735608231310237,0.8739406779661016
750,120,65,5.0,100,30,10,4,sqrt,0.6684736260464913,0.44204933054001805,0.8428764961674344,0.41208648085438915,0.7202396457410785,0.7408179213336806,0.878177966101695
751,80,50,10.0,200,10,5,10,log2,0.6371746937427522,0.3963170784131943,0.8786480846385814,0.3856088560885609,0.7185028993147075,0.7419609910384818,0.8785599140247179
752,80,35,10.0,300,30,5,2,log2,0.675259017256296,0.4516194340793124,0.826706094977976,0.42037876767137905,0.7279274473192852,0.7425980261403041,0.880718954248366
753,120,65,10.0,200,30,2,1,log2,0.6648456385648113,0.43979554209480565,0.8431170228636342,0.4170356863766606,0.7181557697317009,0.736910653816098,0.8675847457627118
754,80,50,0.1,300,30,10,1,log2,0.6822687911343019,0.4605598072603092,0.828607674945699,0.41381128096995257,0.7216657880864523,0.7461781760674749,0.8823213326168726
755,160,35,1.0,100,10,5,2,log2,0.6682726924993164,0.4384014473486034,0.8510048242463226,0.381968524939984,0.722859429181115,0.7476660442784743,0.8872549019607843
756,0,35,1.0,300,10,10,10,sqrt,0.6457716115599248,0.40759141634344775,0.87041766713568,0.384635902907442,0.7164577220592158,0.7449986663110163,0.8823529411764706
757,80,50,5.0,200,30,2,4,log2,0.6770702849900271,0.45092153612263486,0.8327843072874176,0.41565629942013704,0.7227200843437006,0.7448603057459146,0.8833960236432026
758,160,35,5.0,100,,2,10,log2,0.6533587507164552,0.41771230544898463,0.8569737536498522,0.40144038410242733,0.7220592157908776,0.7444651907175247,0.8861655773420479
759,120,65,1.0,300,30,5,10,log2,0.6432535007662401,0.4052510555918095,0.8715718600755605,0.3904662672570982,0.7155509247199792,0.7395154988278198,0.8776483050847458
760,160,50,10.0,200,,10,2,sqrt,0.6677789610419433,0.44135361507646054,0.8393121458670635,0.4114391143911439,0.7224565102793885,0.7448603057459146,0.8812466415905427
761,80,50,1.0,300,,5,2,log2,0.6868975228174532,0.46698449147753973,0.8240828575307164,0.415392725355825,0.7245651027938851,0.7430152872957301,0.8812466415905427
762,0,50,1.0,200,10,2,10,sqrt,0.638994811293334,0.39888750985081545,0.8784579769113037,0.3800738007380074,0.7124406958355298,0.7456510279388509,0.8812466415905427
763,100,35,10.0,100,30,2,4,sqrt,0.6693955561820292,0.4437902662427251,0.8352847629649424,0.41371032275273406,0.7231261669778608,0.7423312883435583,0.880718954248366
764,0,65,5.0,300,,5,10,log2,0.6343057397308265,0.3931514222974982,0.8796730163749601,0.39567595728054183,0.7111226882000521,0.7361292003125814,0.8649364406779662
765,0,35,0.1,100,10,5,4,log2,0.6628200483125423,0.42852810507142347,0.8582945023672937,0.38596959189117097,0.7201920512136569,0.7476660442784743,0.8872549019607843
766,80,35,1.0,100,,2,1,log2,0.6875124780223997,0.47071624308043136,0.8199209042293125,0.42037876767137905,0.7236596425713524,0.7431315017337957,0.883442265795207
767,160,50,10.0,200,,5,1,sqrt,0.6694671630459844,0.4456803861315062,0.8362573486971173,0.4198734844491302,0.7185028993147075,0.739061676331049,0.8737238044062332
768,100,35,0.1,200,10,2,4,sqrt,0.6710451159064408,0.4421063345694328,0.8447932031880678,0.39477193918378234,0.7244598559615898,0.7473993064817285,0.8905228758169934
769,80,50,10.0,300,,5,4,log2,0.6684107383756772,0.43959936253815146,0.8408746527283143,0.40985767000527146,0.7232472324723247,0.7430152872957301,0.8823213326168726
770,80,35,0.1,300,30,5,10,log2,0.6557695647002477,0.4208937702474608,0.8550971020099892,0.3969058415577487,0.722859429181115,0.7444651907175247,0.8856209150326797
771,80,35,1.0,300,30,10,2,sqrt,0.687898262275216,0.4690995446970968,0.819584235667226,0.41664443851693783,0.7260602827420646,0.7471325686849827,0.8877995642701525
772,80,50,0.1,300,10,2,10,log2,0.6434181452549244,0.4037848257018817,0.8737848840442647,0.3827095413811281,0.7119135477069056,0.7438060094886663,0.8828586781300376
773,0,50,0.1,100,10,2,2,log2,0.6628259662443537,0.4297997411846929,0.8591349329294593,0.3798102266736953,0.7161307327358988,0.7506589351607802,0.8887694787748522
774,120,35,10.0,200,10,5,10,sqrt,0.6440499684471063,0.40692200091221886,0.8676869723417953,0.3897039210456122,0.7159242464657242,0.7455321419045079,0.8839869281045751
775,100,50,10.0,100,,5,2,log2,0.6680969601696932,0.44278559488427627,0.8391227390814666,0.41565629942013704,0.7177121771217713,0.7430152872957301,0.8780225685115529
